S.no,File,Input Size,Time Taken
8,mpi_mXv.exe,128,0.000128
9,mpi_mXv.exe,128,0.000154
10,mpi_mXv.exe,128,0.000112
1,mpi_mXv.exe,256,0.000421
2,mpi_mXv.exe,256,0.000423
3,mpi_mXv.exe,256,0.000406
4,mpi_mXv.exe,256,0.000444
5,mpi_mXv.exe,256,0.000407
6,mpi_mXv.exe,256,0.000451
7,mpi_mXv.exe,256,0.000418
8,mpi_mXv.exe,256,0.000509
9,mpi_mXv.exe,256,0.000448
10,mpi_mXv.exe,256,0.00035
1,mpi_mXv.exe,512,0.001764
2,mpi_mXv.exe,512,0.001553
3,mpi_mXv.exe,512,0.001915
4,mpi_mXv.exe,512,0.002104
5,mpi_mXv.exe,512,0.001676
6,mpi_mXv.exe,512,0.001745
7,mpi_mXv.exe,512,0.001714
8,mpi_mXv.exe,512,0.001703
9,mpi_mXv.exe,512,0.001786
10,mpi_mXv.exe,512,0.002402
1,mpi_mXv.exe,1024,0.006472
2,mpi_mXv.exe,1024,0.006375
3,mpi_mXv.exe,1024,0.006371
4,mpi_mXv.exe,1024,0.014419
5,mpi_mXv.exe,1024,0.007746
6,mpi_mXv.exe,1024,0.007759
7,mpi_mXv.exe,1024,0.006001
8,mpi_mXv.exe,1024,0.006006
9,mpi_mXv.exe,1024,0.005982
10,mpi_mXv.exe,1024,0.006503
1,mpi_mXv.exe,2048,0.018828
2,mpi_mXv.exe,2048,0.022794
3,mpi_mXv.exe,2048,0.018256
4,mpi_mXv.exe,2048,0.018338
5,mpi_mXv.exe,2048,0.018216
6,mpi_mXv.exe,2048,0.018259
7,mpi_mXv.exe,2048,0.018325
8,mpi_mXv.exe,2048,0.019232
9,mpi_mXv.exe,2048,0.018356
10,mpi_mXv.exe,2048,0.018332
1,mpi_mXv.exe,4096,0.073678
2,mpi_mXv.exe,4096,0.074953
3,mpi_mXv.exe,4096,0.071338
4,mpi_mXv.exe,4096,0.073154
5,mpi_mXv.exe,4096,0.073827
6,mpi_mXv.exe,4096,0.070184
7,mpi_mXv.exe,4096,0.07162
8,mpi_mXv.exe,4096,0.078808
9,mpi_mXv.exe,4096,0.071784
10,mpi_mXv.exe,4096,0.08397
